i,z,Ex,Hy
0,0,0.173529,-0.160542
1,1,0.197126,-0.132722
2,2,0.217615,-0.102808
3,3,0.234671,-0.0712731
4,4,0.248027,-0.0386142
5,5,0.257471,-0.00534627
6,6,0.262855,0.0280059
7,7,0.264093,0.0609165
8,8,0.261166,0.0928663
9,9,0.254121,0.123352
10,10,0.243068,0.151892
11,11,0.228182,0.178036
12,12,0.209697,0.201373
13,13,0.187905,0.221534
14,14,0.163149,0.238201
15,15,0.135821,0.251112
16,16,0.106351,0.260063
17,17,0.0752035,0.264912
18,18,0.04287,0.265583
19,19,0.00986048,0.262066
20,20,-0.0233046,0.254416
21,21,-0.0561021,0.242754
22,22,-0.0880149,0.227263
23,23,-0.11854,0.208189
24,24,-0.147195,0.185831
25,25,-0.173529,0.160542
26,26,-0.197126,0.132722
27,27,-0.217615,0.102808
28,28,-0.234671,0.0712731
29,29,-0.248027,0.0386142
30,30,-0.257471,0.00534627
31,31,-0.262855,-0.0280059
32,32,-0.264093,-0.0609165
33,33,-0.261166,-0.0928663
34,34,-0.254121,-0.123352
35,35,-0.243068,-0.151892
36,36,-0.228182,-0.178036
37,37,-0.209697,-0.201373
38,38,-0.187905,-0.221534
39,39,-0.163149,-0.238201
40,40,-0.135821,-0.251112
41,41,-0.106351,-0.260063
42,42,-0.0752035,-0.264912
43,43,-0.04287,-0.265583
44,44,-0.00986048,-0.262066
45,45,0.0233046,-0.254416
46,46,0.0561021,-0.242754
47,47,0.0880148,-0.227263
48,48,0.11854,-0.208189
49,49,0.147195,-0.185831
50,50,0.173529,-0.160542
51,51,0.197126,-0.132722
52,52,0.217615,-0.102808
53,53,0.234671,-0.0712731
54,54,0.248027,-0.0386142
55,55,0.257471,-0.00534627
56,56,0.262855,0.0280059
57,57,0.264093,0.0609165
58,58,0.261166,0.0928663
59,59,0.254121,0.123352
60,60,0.243068,0.151892
61,61,0.228182,0.178036
62,62,0.209697,0.201373
63,63,0.187905,0.221534
64,64,0.163149,0.238201
65,65,0.135821,0.251112
66,66,0.106351,0.260063
67,67,0.0752035,0.264912
68,68,0.04287,0.265583
69,69,0.00986053,0.262066
70,70,-0.0233046,0.254416
71,71,-0.056102,0.242754
72,72,-0.0880149,0.227263
73,73,-0.11854,0.208189
74,74,-0.147195,0.185831
75,75,-0.173529,0.160542
76,76,-0.197126,0.132722
77,77,-0.217614,0.102808
78,78,-0.234671,0.0712731
79,79,-0.248027,0.0386142
80,80,-0.257471,0.00534626
81,81,-0.262855,-0.0280059
82,82,-0.264093,-0.0609165
83,83,-0.261166,-0.0928663
84,84,-0.254121,-0.123352
85,85,-0.243068,-0.151892
86,86,-0.228182,-0.178036
87,87,-0.209697,-0.201373
88,88,-0.187905,-0.221534
89,89,-0.163149,-0.238201
90,90,-0.135821,-0.251112
91,91,-0.106351,-0.260063
92,92,-0.0752035,-0.264912
93,93,-0.04287,-0.265583
94,94,-0.00986053,-0.262066
95,95,0.0233046,-0.254416
96,96,0.056102,-0.242754
97,97,0.0880149,-0.227263
98,98,0.11854,-0.208189
99,99,0.147195,-0.185831
100,100,0.173529,-0.160542
101,101,0.197126,-0.132722
102,102,0.217614,-0.102808
103,103,0.234671,-0.0712731
104,104,0.248027,-0.0386142
105,105,0.257471,-0.00534627
106,106,0.262855,0.0280059
107,107,0.264093,0.0609165
108,108,0.261166,0.0928663
109,109,0.254121,0.123352
110,110,0.243068,0.151892
111,111,0.228182,0.178036
112,112,0.209697,0.201373
113,113,0.187905,0.221534
114,114,0.163149,0.238201
115,115,0.135821,0.251112
116,116,0.106351,0.260063
117,117,0.0752035,0.264912
118,118,0.04287,0.265583
119,119,0.00986052,0.262066
120,120,-0.0233046,0.254416
121,121,-0.056102,0.242754
122,122,-0.0880149,0.227263
123,123,-0.11854,0.208189
124,124,-0.147195,0.185831
125,125,-0.173529,0.160542
126,126,-0.197126,0.132722
127,127,-0.217614,0.102808
128,128,-0.234671,0.0712731
129,129,-0.248027,0.0386142
130,130,-0.257471,0.00534627
131,131,-0.262855,-0.028006
132,132,-0.264093,-0.0609165
133,133,-0.261166,-0.0928663
134,134,-0.254121,-0.123352
135,135,-0.243068,-0.151892
136,136,-0.228182,-0.178036
137,137,-0.209697,-0.201373
138,138,-0.187905,-0.221534
139,139,-0.163149,-0.238201
140,140,-0.135821,-0.251112
141,141,-0.106351,-0.260063
142,142,-0.0752035,-0.264912
143,143,-0.0428701,-0.265583
144,144,-0.00986044,-0.262066
145,145,0.0233045,-0.254416
146,146,0.0561021,-0.242754
147,147,0.0880148,-0.227263
148,148,0.11854,-0.208189
149,149,0.147195,-0.185831
150,150,0.173529,-0.160542
151,151,0.197126,-0.132722
152,152,0.217615,-0.102808
153,153,0.234671,-0.0712731
154,154,0.248027,-0.0386142
155,155,0.257471,-0.00534627
156,156,0.262855,0.0280059
157,157,0.264093,0.0609165
158,158,0.261166,0.0928663
159,159,0.254121,0.123352
160,160,0.243068,0.151892
161,161,0.228182,0.178036
162,162,0.209697,0.201373
163,163,0.187905,0.221534
164,164,0.163149,0.238201
165,165,0.135821,0.251112
166,166,0.106351,0.260063
167,167,0.0752035,0.264912
168,168,0.0428701,0.265583
169,169,0.00986045,0.262066
170,170,-0.0233045,0.254416
171,171,-0.0561021,0.242754
172,172,-0.0880148,0.227263
173,173,-0.11854,0.208189
174,174,-0.147195,0.185831
175,175,-0.173529,0.160542
176,176,-0.197126,0.132722
177,177,-0.217615,0.102808
178,178,-0.234671,0.0712731
179,179,-0.248027,0.0386142
180,180,-0.257471,0.00534627
181,181,-0.262855,-0.0280059
182,182,-0.264093,-0.0609165
183,183,-0.261166,-0.0928663
184,184,-0.254121,-0.123352
185,185,-0.243068,-0.151892
186,186,-0.228182,-0.178036
187,187,-0.209697,-0.201373
188,188,-0.187905,-0.221534
189,189,-0.163149,-0.238201
190,190,-0.135821,-0.251112
191,191,-0.106351,-0.260063
192,192,-0.0752035,-0.264912
193,193,-0.0428701,-0.265583
194,194,-0.00986044,-0.262066
195,195,0.0233045,-0.254416
196,196,0.0561021,-0.242754
197,197,0.0880148,-0.227263
198,198,0.11854,-0.208189
199,199,0.147195,-0.185831
