Paso;z;Ex;Hy
0;0;0;0
0;2.0202;0.0126592;0.0126592
0;4.0404;0.0251148;0.0251148
0;6.06061;0.0371662;0.0371662
0;8.08081;0.0486197;0.0486197
0;10.101;0.0592908;0.0592908
0;12.1212;0.0690079;0.0690079
0;14.1414;0.0776146;0.0776146
0;16.1616;0.0849725;0.0849725
0;18.1818;0.0909632;0.0909632
0;20.202;0.0954902;0.0954902
0;22.2222;0.0984808;0.0984808
0;24.2424;0.0998867;0.0998867
0;26.2626;0.0996855;0.0996855
0;28.2828;0.0978802;0.0978802
0;30.303;0.0945001;0.0945001
0;32.3232;0.0895994;0.0895994
0;34.3434;0.083257;0.083257
0;36.3636;0.075575;0.075575
0;38.3838;0.0666769;0.0666769
0;40.404;0.056706;0.056706
0;42.4242;0.0458227;0.0458227
0;44.4444;0.034202;0.034202
0;46.4646;0.0220311;0.0220311
0;48.4848;0.0095056;0.0095056
0;50.5051;-0.00317279;-0.00317279
0;52.5253;-0.0158001;-0.0158001
0;54.5455;-0.0281733;-0.0281733
0;56.5657;-0.0400931;-0.0400931
0;58.5859;-0.0513677;-0.0513677
0;60.6061;-0.0618159;-0.0618159
0;62.6263;-0.0712694;-0.0712694
0;64.6465;-0.0795762;-0.0795762
0;66.6667;-0.0866025;-0.0866025
0;68.6869;-0.0922354;-0.0922354
0;70.7071;-0.0963842;-0.0963842
0;72.7273;-0.0989821;-0.0989821
0;74.7475;-0.0999874;-0.0999874
0;76.7677;-0.0993838;-0.0993838
0;78.7879;-0.0971812;-0.0971812
0;80.8081;-0.0934148;-0.0934148
0;82.8283;-0.0881453;-0.0881453
0;84.8485;-0.0814576;-0.0814576
0;86.8687;-0.0734592;-0.0734592
0;88.8889;-0.0642788;-0.0642788
0;90.9091;-0.0540641;-0.0540641
0;92.9293;-0.0429795;-0.0429795
0;94.9495;-0.0312033;-0.0312033
0;96.9697;-0.0189251;-0.0189251
0;98.9899;-0.00634239;-0.00634239
0;101.01;0.00634239;0.00634239
0;103.03;0.0189251;0.0189251
0;105.051;0.0312033;0.0312033
0;107.071;0.0429795;0.0429795
0;109.091;0.0540641;0.0540641
0;111.111;0.0642788;0.0642788
0;113.131;0.0734592;0.0734592
0;115.152;0.0814576;0.0814576
0;117.172;0.0881453;0.0881453
0;119.192;0.0934148;0.0934148
0;121.212;0.0971812;0.0971812
0;123.232;0.0993838;0.0993838
0;125.253;0.0999874;0.0999874
0;127.273;0.0989821;0.0989821
0;129.293;0.0963842;0.0963842
0;131.313;0.0922354;0.0922354
0;133.333;0.0866025;0.0866025
0;135.354;0.0795762;0.0795762
0;137.374;0.0712694;0.0712694
0;139.394;0.0618159;0.0618159
0;141.414;0.0513677;0.0513677
0;143.434;0.0400931;0.0400931
0;145.455;0.0281733;0.0281733
0;147.475;0.0158001;0.0158001
0;149.495;0.00317279;0.00317279
0;151.515;-0.0095056;-0.0095056
0;153.535;-0.0220311;-0.0220311
0;155.556;-0.034202;-0.034202
0;157.576;-0.0458227;-0.0458227
0;159.596;-0.056706;-0.056706
0;161.616;-0.0666769;-0.0666769
0;163.636;-0.075575;-0.075575
0;165.657;-0.083257;-0.083257
0;167.677;-0.0895994;-0.0895994
0;169.697;-0.0945001;-0.0945001
0;171.717;-0.0978802;-0.0978802
0;173.737;-0.0996855;-0.0996855
0;175.758;-0.0998867;-0.0998867
0;177.778;-0.0984808;-0.0984808
0;179.798;-0.0954902;-0.0954902
0;181.818;-0.0909632;-0.0909632
0;183.838;-0.0849725;-0.0849725
0;185.859;-0.0776146;-0.0776146
0;187.879;-0.0690079;-0.0690079
0;189.899;-0.0592908;-0.0592908
0;191.919;-0.0486197;-0.0486197
0;193.939;-0.0371662;-0.0371662
0;195.96;-0.0251148;-0.0251148
0;197.98;-0.0126592;-0.0126592
0;200;-4.89843e-017;-4.89843e-017
1;0;-0.0101274;-0.0101274
1;2.0202;0.00261333;0.00261333
1;4.0404;0.015312;0.015312
1;6.06061;0.0277643;0.0277643
1;8.08081;0.0397699;0.0397699
1;10.101;0.0511355;0.0511355
1;12.1212;0.0616784;0.0616784
1;14.1414;0.0712288;0.0712288
1;16.1616;0.0796331;0.0796331
1;18.1818;0.0867561;0.0867561
1;20.202;0.0924832;0.0924832
1;22.2222;0.0967222;0.0967222
1;24.2424;0.0994049;0.0994049
1;26.2626;0.100488;0.100488
1;28.2828;0.0999544;0.0999544
1;30.303;0.0978124;0.0978124
1;32.3232;0.0940966;0.0940966
1;34.3434;0.0888668;0.0888668
1;36.3636;0.082207;0.082207
1;38.3838;0.0742245;0.0742245
1;40.404;0.0650477;0.0650477
1;42.4242;0.0548242;0.0548242
1;44.4444;0.0437187;0.0437187
1;46.4646;0.0319096;0.0319096
1;48.4848;0.0195871;0.0195871
1;50.5051;0.0069495;0.0069495
1;52.5253;-0.00579995;-0.00579995
1;54.5455;-0.0184561;-0.0184561
1;56.5657;-0.0308153;-0.0308153
1;58.5859;-0.0426786;-0.0426786
1;60.6061;-0.0538552;-0.0538552
1;62.6263;-0.0641653;-0.0641653
1;64.6465;-0.0734429;-0.0734429
1;66.6667;-0.0815388;-0.0815388
1;68.6869;-0.0883228;-0.0883228
1;70.7071;-0.0936855;-0.0936855
1;72.7273;-0.0975409;-0.0975409
1;74.7475;-0.0998267;-0.0998267
1;76.7677;-0.100506;-0.100506
1;78.7879;-0.0995688;-0.0995688
1;80.8081;-0.0970291;-0.0970291
1;82.8283;-0.0929282;-0.0929282
1;84.8485;-0.0873321;-0.0873321
1;86.8687;-0.0803307;-0.0803307
1;88.8889;-0.0720368;-0.0720368
1;90.9091;-0.0625838;-0.0625838
1;92.9293;-0.0521238;-0.0521238
1;94.9495;-0.0408251;-0.0408251
1;96.9697;-0.0288695;-0.0288695
1;98.9899;-0.0164494;-0.0164494
1;101.01;-0.00376461;-0.00376461
1;103.03;0.00898074;0.00898074
1;105.051;0.0215816;0.0215816
1;107.071;0.0338352;0.0338352
1;109.091;0.0455444;0.0455444
1;111.111;0.0565207;0.0565207
1;113.131;0.0665876;0.0665876
1;115.152;0.0755831;0.0755831
1;117.172;0.0833625;0.0833625
1;119.192;0.0898005;0.0898005
1;121.212;0.0947935;0.0947935
1;123.232;0.0982613;0.0982613
1;125.253;0.100148;0.100148
1;127.273;0.100423;0.100423
1;129.293;0.0990829;0.0990829
1;131.313;0.0961481;0.0961481
1;133.333;0.0916662;0.0916662
1;135.354;0.0857094;0.0857094
1;137.374;0.0783735;0.0783735
1;139.394;0.0697766;0.0697766
1;141.414;0.0600569;0.0600569
1;143.434;0.0493708;0.0493708
1;145.455;0.0378904;0.0378904
1;147.475;0.0258003;0.0258003
1;149.495;0.0132951;0.0132951
1;151.515;0.000575934;0.000575934
1;153.535;-0.0121525;-0.0121525
1;155.556;-0.0246854;-0.0246854
1;157.576;-0.0368211;-0.0368211
1;159.596;-0.0483643;-0.0483643
1;161.616;-0.0591293;-0.0591293
1;163.636;-0.0689429;-0.0689429
1;165.657;-0.0776472;-0.0776472
1;167.677;-0.0851021;-0.0851021
1;169.697;-0.0911877;-0.0911877
1;171.717;-0.0958061;-0.0958061
1;173.737;-0.0988829;-0.0988829
1;175.758;-0.100369;-0.100369
1;177.778;-0.100239;-0.100239
1;179.798;-0.0984973;-0.0984973
1;181.818;-0.0951703;-0.0951703
1;183.838;-0.090312;-0.090312
1;185.859;-0.0840005;-0.0840005
1;187.879;-0.0763374;-0.0763374
1;189.899;-0.0674461;-0.0674461
